,genus,Mean_Score
584,g__Acerihabitans,5.181945081
585,g__Acetanaerobacterium,2.677019461
586,g__Acetatifactor,3.294169421
587,g__Aceticella,2.093428646
588,g__Acetilactobacillus,2.701840374
589,g__Acetitomaculum,3.117903286
590,g__Acetivibrio,3.123768764
591,g__Acetoanaerobium,3.116341076
592,g__Acetobacter,3.496197059
593,g__Acetobacterium,3.932966785
594,g__Acetobacteroides,3.280488681
595,g__Acetocimmeria,2.57752221
596,g__Acetohalobium,2.282770771
597,g__Acetomicrobium,2.292336284
598,g__Acetonema,3.400741575
599,g__Aceula,1.85022978
600,g__Acherontichlamydia,2.998872563
601,g__Acholeplasma,2.151820759
602,g__Acholeplasma_C,2.756637545
603,g__Achromatium,3.007635287
604,g__Achromobacter,5.566613444
605,g__Achromobacter_A,4.056976127
606,g__Acidaminobacter,3.619592778
607,g__Acidaminococcus,3.520412805
608,g__Acidianus,2.395640971
609,g__Acidianus_B,2.59013854
610,g__Acidibrevibacterium,2.614102144
611,g__Acidicaldus,2.57876807
612,g__Acidicapsa,3.252218833
613,g__Acididesulfobacillus,3.618009867
614,g__Acididesulfobacter,2.057778833
615,g__Acidiferrobacter,2.458655816
616,g__Acidifodinimicrobium,1.540275246
617,g__Acidihalobacter,2.901035319
618,g__Acidihalobacter_A,3.012895776
619,g__Acidilobus,1.727884309
620,g__Acidiluteibacter,2.877745204
621,g__Acidilutibacter,3.26784171
622,g__Acidimangrovimonas,3.639307373
623,g__Acidimicrobium,1.961328857
624,g__Acidiphilium,2.645956211
625,g__Acidipila,2.561568476
626,g__Acidiplasma,2.070158152
627,g__Acidipropionibacterium,2.730720652
628,g__Acidisarcina,4.311899013
629,g__Acidisoma,3.784563202
630,g__Acidisphaera,2.647123845
631,g__Aciditerrimonas,1.854589295
632,g__Acidithiobacillus,2.995482757
633,g__Acidithiobacillus_A,2.483007629
634,g__Acidithiobacillus_B,2.312569159
635,g__Acidithrix,2.765759802
636,g__Acidobacterium,2.512379743
637,g__Acidocella,2.872531076
638,g__Acidoferrum,3.512466619
639,g__Acidomonas,2.858203275
640,g__Acidothermus,2.102805973
641,g__Acidovorax,4.679296404
642,g__Acidovorax_F,4.744845931
643,g__Aciduliprofundum,2.301851907
644,g__Acidulodesulfobacterium,2.075291175
645,g__Acidulodesulfobacterium_A,2.094665664
646,g__Acinetobacter,4.521574197
647,g__Acrocarpospora,5.433796092
648,g__Actibacterium,3.655370899
649,g__Actibacterium_A,3.793091846
650,g__Actibacterium_B,3.948616983
651,g__Actibacterium_C,3.869564275
652,g__Actibacterium_D,3.743735408
653,g__Actinacidiphila,4.858043799
654,g__Actinoallomurus,5.014784184
655,g__Actinoalloteichus,3.884049238
656,g__Actinobacillus,3.463818847
657,g__Actinobacillus_A,3.567205545
658,g__Actinobacillus_B,3.236890491
659,g__Actinobacillus_C,2.963126414
660,g__Actinobaculum,2.886894915
661,g__Actinocatenispora,4.366955609
662,g__Actinocorallia,4.803749554
663,g__Actinocrinis,3.691131491
664,g__Actinocrispum,6.298799845
665,g__Actinokineospora,4.275839964
666,g__Actinomadura_C,4.710014192
667,g__Actinomadura_D,4.646999386
668,g__Actinomarina,1.765556723
669,g__Actinomarinicola,2.885781973
670,g__Actinomyces,2.313298233
671,g__Actinomycetospora,3.692761834
672,g__Actinophytocola,4.812058357
673,g__Actinoplanes,5.267175456
674,g__Actinopolymorpha,4.319327195
675,g__Actinopolyspora,3.469981884
676,g__Actinorhabdospora,4.777613457
677,g__Actinorugispora,3.959495988
678,g__Actinospica,4.509006188
679,g__Actinosynnema,4.859881063
680,g__Actinotalea,2.402696646
681,g__Actinotignum,2.596220344
682,g__Actirhodobacter,2.661650936
683,g__Acutalibacter,2.713572785
684,g__Acuticoccus,3.824007386
685,g__Adamsella,2.246899945
686,g__Adhaeretor,3.860084654
687,g__Adhaeribacter,4.52476541
688,g__Adhaeribacter_A,4.422898785
689,g__Adiutrix,2.354135419
690,g__Adlercreutzia,2.841569198
691,g__Adlercreutzia_A,2.593440047
692,g__Advenella,4.419054482
693,g__Advenella_A,3.62812716
694,g__Aedoeadaptatus,2.922578944
695,g__Aegicerativicinus,3.141845476
696,g__Aegiribacteria,2.391426158
697,g__Aenigmatarchaeum,1.641962832
698,g__Aeoliella,3.307405996
699,g__Aequitasia,3.34281738
700,g__Aequoribacter,3.024366808
701,g__Aequorivita,3.336406848
702,g__Aeribacillus,3.969556057
703,g__Aeriscardovia,1.904876109
704,g__Aerococcus,3.615228541
705,g__Aeromicrobium,3.104857697
706,g__Aeromonas,5.896682509
707,g__Aerophobus,2.269030052
708,g__Aerophototrophica,4.246059368
709,g__Aeropyrum,2.274547971
710,g__Aerosticca,2.211248395
711,g__Aestuariibacter,3.974261227
712,g__Aestuariibacter_A,5.295162442
713,g__Aestuariibaculum,2.766752877
714,g__Aestuariimicrobium,2.765680745
715,g__Aestuariirhabdus,4.086499586
716,g__Aestuariispira,4.877573117
717,g__Aestuariispira_A,4.539056368
718,g__Aestuariivirga,3.321873286
719,g__Aestuariivita,3.73100437
720,g__Aestuariivivens,2.927100353
721,g__Aetokthonos,5.009065985
722,g__Affinibrenneria,5.856715543
723,g__Afifella,3.0491233
724,g__Afipia,3.545106577
725,g__Agaribacterium,3.644243085
726,g__Agaricicola,2.977764614
727,g__Agarilytica,4.555002233
728,g__Agarivorans,4.172182009
729,g__Agathobacter,3.546900671
730,g__Agathobaculum,3.386787413
731,g__Aggregatibacter,3.505581667
