"","OTU","Wlab","Wlight","Z","Gi","Mlight","Mheavymax","Mlab","A","A_CI_low","A_CI_high","Incorporator","CM_control","CM_treatment","delta_BD","Culture","Substrate","copy_number","id","Domain","Phylum","Class","Order","Family","Genus","Species"
"104","7c338eeece15edbfcf8ed52c568f6fc2",1.78162934725625,1.77869181658366,0.00293753067259361,1.58832678590351,308.478810085808,317.661230726863,308.988266506546,0.054865181259225,0.054865181259225,0.054865181259225,TRUE,1.78644731990426,1.77901626421328,-0.00743105569098068,"Batch","Single",5,"batch_glu","Bacteria","Proteobacteria","Gammaproteobacteria","OM182 clade","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"105","7c338eeece15edbfcf8ed52c568f6fc2",1.78351607808366,1.7925524232524,-0.00903634516873342,1.75431014840128,308.561137833607,317.660777891053,307.005665920511,-0.169038224169473,-0.169038224169473,-0.169038224169473,FALSE,1.79131168270519,1.78343078347369,-0.00788089923149826,"Batch","Multi",5,"batch_carb","Bacteria","Proteobacteria","Gammaproteobacteria","OM182 clade","Ambiguous_taxa","Ambiguous_taxa","Ambiguous_taxa"
"106","7dd273cfe05a5c5e224f299f760201cf",1.7862520647983,1.77539898362388,0.0108530811744192,1.54889449409478,308.459251669071,317.661338306041,310.344874747739,0.20263549848258,0.20263549848258,0.20263549848258,TRUE,1.7782879053801,1.78568172423899,0.00739381885889112,"Batch","Multi",4,"batch_carb","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"107","7dd273cfe05a5c5e224f299f760201cf",1.76812860423542,1.79451919204741,-0.0263905878119921,1.77786257331704,308.572819836365,317.660713635327,304.034881131461,-0.493790060905872,-0.493790060905872,-0.493790060905872,FALSE,1.7959242644492,1.7703503885441,-0.0255738759050967,"Batch","Single",4,"batch_glu","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"108","7e777c0f972309bbe9f7781b653b0662",1.75191558314885,1.76672964277798,-0.0148140596291353,1.4450775127294,308.407758446314,317.66162153953,305.821753879974,-0.276345997823524,-0.276345997823524,-0.276345997823524,FALSE,1.78658588321771,1.73727637177954,-0.049309511438175,"Chemostat","Multi",3,"chemo_carb","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12 marine group","",""
"109","7ebbb1e6f79a2910951c191a4bf1df66",1.76585137868794,1.76317380610192,0.00267757258601375,1.40249570212829,308.386637868256,317.661737711225,308.854956762622,0.049930975203217,0.049930975203217,0.049930975203217,TRUE,1.77672798087914,1.75151338114456,-0.0252145997345841,"Chemostat","Multi",4,"chemo_carb","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Methyloversatilis",""
"110","801efb14d6457f799fd2becee6d07b72",1.77451776509347,1.76353947634967,0.0109782887438019,1.4068746718759,308.38880983725,317.66172576452,310.308574858195,0.204728693045341,0.204728693045341,0.204728693045341,TRUE,1.77617081872969,1.77697014468112,0.000799325951432728,"Chemostat","Multi",5,"chemo_carb","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Terasakiellaceae","uncultured","Aestuariispira sp."
"111","8215c539c392e8fc631e1d5cddeac7da",1.76816576165063,1.76432427439848,0.00384148725214972,1.41627277559079,308.393471296693,317.661700124614,309.064940598467,0.0716434310843753,0.0716434310843753,0.0716434310843753,TRUE,1.78805935513217,1.74736928706299,-0.0406900680691784,"Chemostat","Multi",3,"chemo_carb","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","metagenome"
"112","83c246c4ed456dea2a15d054f16009b3",1.76857676342557,1.76581320629377,0.00276355713179632,1.43410301408008,308.402315094984,317.661651480157,308.884975103588,0.0515475960107787,0.0515475960107787,0.0515475960107787,TRUE,1.77842145207918,1.76281417997788,-0.0156072721012932,"Chemostat","Multi",2,"chemo_carb","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Zoogloea",""
"113","84ea3564fd34c5377c4305b340f0c16f",1.78191111380453,1.77388491822827,0.00802619557626572,1.53076327722878,308.450258585505,317.661387771627,309.845885818996,0.149831636841457,0.149831636841457,0.149831636841457,TRUE,1.7798511993276,1.77960030851474,-0.000250890812860449,"Batch","Multi",1,"batch_carb","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade III","",""
